source,year,month,iso3,hooks,sets,lat_index,lon_index,region,region_CCSBT
,2018,8,CHN,0.0,2,-10.0,-13.0,South_Atlantic,10
,2018,5,KOR,0.0,1,-10.0,-2.0,South_Atlantic,9
,2017,8,ESP,0.0,12,9.0,-1.0,Other_Region,Other_Region
,2019,6,TWN,0.0,1,-10.0,-28.0,South_Pacific,Other_Region
,2018,8,ESP,0.0,1,10.0,-3.0,Other_Region,Other_Region
,2019,6,ESP,0.0,1,9.0,-7.0,Other_Region,Other_Region
iccat,2018,9,KOR,4800.0,4,11.0,-5.0,Other_Region,Other_Region
iccat,2019,1,MEX,1825.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2019,10,PAN,10600.0,0,1.2,-12.0,Other_Region,Other_Region
iccat,2018,9,MEX,3548.0,0,3.8,-19.8,Other_Region,Other_Region
iccat,2017,9,ITA,400.0,0,7.6,3.4,Other_Region,Other_Region
iccat,2018,8,ZAF,8300.0,0,-7.6,3.2,South_Atlantic,9
iccat,2019,8,ZAF,1600.0,0,-7.6,3.2,South_Atlantic,9
iccat,2019,8,ZAF,6636.0,0,-7.6,3.2,South_Atlantic,9
iccat,2019,8,PAN,2300.0,0,1.4,-8.8,Other_Region,Other_Region
iccat,2019,2,MEX,672.0,0,4.4,-18.8,Other_Region,Other_Region
iccat,2017,9,ZAF,2700.0,0,-7.4,3.2,South_Atlantic,9
iccat,2019,9,ZAF,2725.0,0,-7.4,3.0,South_Atlantic,9
iccat,2019,12,ZAF,1685.0,0,-7.4,3.2,South_Atlantic,9
iccat,2019,8,PAN,43500.0,0,0.8,-9.6,Other_Region,Other_Region
iccat,2019,3,PAN,2500.0,0,1.6,-9.0,Other_Region,Other_Region
iccat,2019,1,MEX,1148.0,0,4.2,-20.0,Other_Region,Other_Region
iccat,2017,2,ZAF,2650.0,0,-7.2,3.0,South_Atlantic,9
iccat,2017,6,ZAF,1550.0,0,-7.2,2.2,South_Atlantic,9
iccat,2018,6,ZAF,1000.0,0,-7.2,3.2,South_Atlantic,9
iccat,2019,10,PAN,2700.0,0,1.8,-9.4,Other_Region,Other_Region
,2017,11,CHN,0.0,1,-16.0,-1.0,Other_Region,Other_Region
,2018,10,ESP,0.0,5,9.0,-2.0,Other_Region,Other_Region
,2018,5,ESP,0.0,5,9.0,-1.0,Other_Region,Other_Region
,2019,6,NZL,0.0,1,-10.0,34.0,South_Pacific,6
,2017,5,USA,0.0,1,9.0,-25.0,North_Pacific,Other_Region
,2018,1,CHN,0.0,2,-16.0,7.0,Other_Region,Other_Region
,2019,12,CHN,0.0,1,11.0,3.0,Other_Region,Other_Region
iccat,2019,10,MEX,576.0,0,4.8,-19.8,Other_Region,Other_Region
iccat,2019,7,PAN,2900.0,0,0.6,-8.8,Other_Region,Other_Region
iccat,2019,7,PAN,4800.0,0,1.2,-12.0,Other_Region,Other_Region
iccat,2018,2,MEX,3280.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2019,2,MEX,3091.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2017,4,ZAF,1490.0,0,-7.6,3.2,South_Atlantic,9
iccat,2017,4,ZAF,2800.0,0,-7.6,3.2,South_Atlantic,9
iccat,2017,4,ZAF,8500.0,0,-7.6,3.2,South_Atlantic,9
