source,year,month,iso3,hooks,sets,lat_index,lon_index,region,region_CCSBT
iccat,2019,8,ZAF,6970.0,0,-8.2,3.8,South_Atlantic,9
iccat,2019,8,ZAF,8270.0,0,-8.2,3.8,South_Atlantic,9
iccat,2019,2,PAN,61500.0,0,1.4,-10.6,Other_Region,Other_Region
iccat,2019,8,ZAF,6758.0,0,-7.4,3.0,South_Atlantic,9
iccat,2019,1,PAN,12600.0,0,1.6,-9.8,Other_Region,Other_Region
iccat,2018,6,MEX,8225.0,0,4.2,-20.2,Other_Region,Other_Region
iccat,2019,7,ZAF,17635.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,7,ZAF,51811.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,7,ZAF,7090.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,1,PAN,26100.0,0,1.8,-10.2,Other_Region,Other_Region
iccat,2019,12,PAN,2400.0,0,1.8,-3.8,Other_Region,Other_Region
,2017,9,CAN,0.0,1,9.0,-11.0,Other_Region,Other_Region
,2018,1,CHN,0.0,1,-14.0,0.0,Other_Region,Other_Region
,2018,4,CAN,0.0,1,9.0,-11.0,Other_Region,Other_Region
iccat,2019,1,MEX,7878.0,0,4.8,-19.8,Other_Region,Other_Region
iccat,2019,4,MEX,550.0,0,4.8,-20.0,North_Pacific,Other_Region
iccat,2018,4,ZAF,1200.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,4,ZAF,9200.0,0,-7.8,3.6,South_Atlantic,9
iccat,2019,5,PAN,4000.0,0,0.6,-8.4,Other_Region,Other_Region
iccat,2019,8,PAN,5100.0,0,0.6,-9.6,Other_Region,Other_Region
iccat,2019,3,PAN,25300.0,0,1.2,-10.0,Other_Region,Other_Region
iccat,2018,4,MEX,2144.0,0,4.6,-20.0,Other_Region,Other_Region
iccat,2019,10,MEX,1191.0,0,4.6,-19.2,Other_Region,Other_Region
iccat,2018,7,ZAF,3600.0,0,-7.6,2.8,South_Atlantic,9
iccat,2019,3,PAN,7700.0,0,1.4,-9.6,Other_Region,Other_Region
iccat,2019,8,PAN,14500.0,0,1.4,-10.4,Other_Region,Other_Region
iccat,2019,9,PAN,35300.0,0,1.4,-8.6,Other_Region,Other_Region
iccat,2018,11,MEX,1824.0,0,4.4,-19.2,Other_Region,Other_Region
iccat,2018,4,ZAF,6616.0,0,-7.4,2.8,South_Atlantic,9
iccat,2019,10,PAN,13000.0,0,0.8,-10.0,Other_Region,Other_Region
iccat,2019,1,PAN,2400.0,0,1.6,-12.0,Other_Region,Other_Region
iccat,2019,2,PAN,16400.0,0,1.6,-12.0,Other_Region,Other_Region
iccat,2019,10,PAN,2900.0,0,1.6,-11.8,Other_Region,Other_Region
iccat,2018,8,MEX,672.0,0,3.6,-20.0,Other_Region,Other_Region
iccat,2019,1,PAN,2800.0,0,1.8,-12.0,Other_Region,Other_Region
iccat,2019,6,PAN,8400.0,0,1.8,-9.6,Other_Region,Other_Region
iccat,2019,10,PAN,12300.0,0,1.8,-10.2,Other_Region,Other_Region
,2019,4,CHN,0.0,1,13.0,-2.0,Other_Region,Other_Region
,2017,11,CHN,0.0,1,-13.0,-4.0,Other_Region,Other_Region
,2018,10,ESP,0.0,1,-12.0,22.0,Other_Region,8
iccat,2018,1,MEX,3552.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2018,12,MEX,1842.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2019,7,ZAF,4158.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,8,ZAF,4480.0,0,-8.2,3.6,South_Atlantic,9
iccat,2019,9,PAN,29900.0,0,1.4,-11.8,Other_Region,Other_Region
iccat,2019,6,PAN,2400.0,0,2.2,-11.2,Other_Region,Other_Region
iccat,2018,10,MEX,4764.0,0,4.4,-19.8,Other_Region,Other_Region
iccat,2019,8,PAN,2600.0,0,0.8,-10.2,Other_Region,Other_Region
iccat,2019,10,PAN,5400.0,0,0.8,-8.4,Other_Region,Other_Region
iccat,2019,7,PAN,15400.0,0,1.6,-10.8,Other_Region,Other_Region
iccat,2018,6,MEX,1734.0,0,4.2,-19.4,Other_Region,Other_Region
iccat,2019,9,MEX,1152.0,0,4.2,-20.2,Other_Region,Other_Region
iccat,2019,11,ZAF,5280.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,11,ZAF,3720.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,11,ZAF,21640.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,11,PAN,24700.0,0,1.8,-10.4,Other_Region,Other_Region
,2019,8,ESP,0.0,7,9.0,-1.0,Other_Region,Other_Region
,2018,6,ESP,0.0,2,9.0,-6.0,Other_Region,Other_Region
,2017,2,CHN,0.0,17,-10.0,-13.0,South_Atlantic,10
iccat,2017,9,JPN,15312.0,5,11.0,-5.0,Other_Region,Other_Region
,2019,6,TWN,0.0,1,10.0,-22.0,North_Pacific,Other_Region
iccat,2019,9,MEX,1152.0,0,4.8,-19.2,Other_Region,Other_Region
iccat,2019,4,ZAF,1180.0,0,-7.8,3.6,South_Atlantic,9
iccat,2019,3,PAN,2800.0,0,0.6,-9.4,Other_Region,Other_Region
iccat,2019,1,PAN,20900.0,0,1.2,-9.2,Other_Region,Other_Region
iccat,2019,4,MEX,4784.0,0,3.8,-20.0,Other_Region,Other_Region
iccat,2019,7,MEX,9616.0,0,3.8,-20.0,Other_Region,Other_Region
iccat,2018,2,MEX,1992.0,0,4.6,-19.4,Other_Region,Other_Region
iccat,2018,8,MEX,672.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2018,5,ZAF,1560.0,0,-7.6,2.8,South_Atlantic,9
iccat,2019,2,PAN,10700.0,0,1.4,-9.8,Other_Region,Other_Region
iccat,2019,5,PAN,17600.0,0,1.4,-11.8,Other_Region,Other_Region
iccat,2019,6,PAN,7500.0,0,1.4,-10.4,Other_Region,Other_Region
iccat,2019,7,PAN,2300.0,0,1.4,-9.6,Other_Region,Other_Region
iccat,2019,3,PAN,30000.0,0,1.6,-11.2,Other_Region,Other_Region
iccat,2019,9,MEX,6218.0,0,4.2,-19.4,Other_Region,Other_Region
iccat,2019,10,JPN,11907.0,2,10.0,-10.0,Other_Region,Other_Region
,2019,12,CHN,0.0,1,9.0,-6.0,Other_Region,Other_Region
,2017,6,GBR,0.0,1,10.0,-1.0,Other_Region,Other_Region
,2017,6,CHN,0.0,5,-10.0,-13.0,South_Atlantic,10
,2018,9,CAN,0.0,1,9.0,-11.0,Other_Region,Other_Region
,2017,8,ESP,0.0,1,10.0,-4.0,Other_Region,Other_Region
,2018,7,KOR,0.0,1,-10.0,10.0,South_Indian,9
,2017,8,CAN,0.0,2,10.0,-12.0,Other_Region,Other_Region
iccat,2018,9,MEX,2454.0,0,4.8,-19.2,Other_Region,Other_Region
iccat,2018,12,MEX,1350.0,0,4.8,-19.2,Other_Region,Other_Region
iccat,2017,3,ZAF,2800.0,0,-7.8,3.4,South_Atlantic,9
iccat,2017,3,ZAF,1000.0,0,-7.8,3.4,South_Atlantic,9
iccat,2018,10,ZAF,1300.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,10,ZAF,1700.0,0,-7.8,3.6,South_Atlantic,9
iccat,2019,10,ZAF,6000.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,4,PAN,10600.0,0,1.2,-10.0,Other_Region,Other_Region
iccat,2018,4,MEX,1728.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2019,3,MEX,576.0,0,4.6,-19.6,Other_Region,Other_Region
iccat,2019,7,PAN,2300.0,0,1.4,-9.8,Other_Region,Other_Region
iccat,2019,10,PAN,44200.0,0,1.4,-10.4,Other_Region,Other_Region
iccat,2019,11,PAN,7500.0,0,2.2,-10.6,Other_Region,Other_Region
iccat,2018,1,MEX,2400.0,0,4.4,-19.8,Other_Region,Other_Region
iccat,2019,7,PAN,25700.0,0,0.8,-8.6,Other_Region,Other_Region
iccat,2019,7,PAN,10000.0,0,1.6,-10.2,Other_Region,Other_Region
iccat,2017,1,ZAF,19950.0,0,-7.2,1.6,South_Atlantic,9
iccat,2019,2,PAN,48700.0,0,1.8,-10.8,Other_Region,Other_Region
iccat,2019,6,PAN,38200.0,0,1.8,-10.8,Other_Region,Other_Region
iccat,2019,7,PAN,6900.0,0,1.8,-10.6,Other_Region,Other_Region
,2018,2,CHN,0.0,1,-13.0,-1.0,Other_Region,Other_Region
,2018,8,ESP,0.0,2,9.0,-5.0,Other_Region,Other_Region
,2019,7,ESP,0.0,27,9.0,-2.0,Other_Region,Other_Region
,2019,4,TWN,0.0,1,11.0,8.0,Other_Region,Other_Region
iccat,2018,11,MEX,8456.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2017,5,ZAF,1300.0,0,-7.8,3.0,South_Atlantic,9
iccat,2017,5,ZAF,12150.0,0,-7.8,3.0,South_Atlantic,9
iccat,2018,6,ZAF,1200.0,0,-7.8,3.4,South_Atlantic,9
iccat,2018,6,ZAF,900.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,5,ZAF,1560.0,0,-7.8,3.2,South_Atlantic,9
iccat,2019,7,ZAF,5672.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,9,ZAF,2296.0,0,-7.8,3.6,South_Atlantic,9
iccat,2019,5,MEX,9196.0,0,3.8,-19.6,Other_Region,Other_Region
iccat,2018,3,MEX,1848.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2017,6,ZAF,1200.0,0,-7.6,2.8,South_Atlantic,9
iccat,2018,4,ZAF,1000.0,0,-7.6,3.4,South_Atlantic,9
iccat,2019,6,PAN,7600.0,0,1.4,-11.8,Other_Region,Other_Region
iccat,2018,9,MEX,560.0,0,4.4,-20.2,Other_Region,Other_Region
iccat,2018,11,MEX,13454.0,0,4.4,-19.4,Other_Region,Other_Region
iccat,2019,10,MEX,1719.0,0,4.4,-19.2,Other_Region,Other_Region
iccat,2019,11,MEX,4473.0,0,4.4,-19.6,Other_Region,Other_Region
iccat,2018,6,ZAF,2466.0,0,-7.4,3.0,South_Atlantic,9
iccat,2018,6,ZAF,3000.0,0,-7.4,3.0,South_Atlantic,9
iccat,2018,6,ZAF,2640.0,0,-7.4,3.0,South_Atlantic,9
iccat,2019,12,PAN,10700.0,0,1.6,-10.8,Other_Region,Other_Region
iccat,2019,8,MEX,2418.0,0,4.2,-20.0,Other_Region,Other_Region
iccat,2019,6,PAN,67300.0,0,1.8,-11.6,Other_Region,Other_Region
,2018,9,ESP,0.0,45,9.0,-2.0,Other_Region,Other_Region
,2018,9,CHN,0.0,1,-10.0,-13.0,South_Atlantic,10
,2017,7,PRT,0.0,12,9.0,-3.0,Other_Region,Other_Region
,2018,7,ESP,0.0,2,9.0,-3.0,Other_Region,Other_Region
iccat,2018,10,JPN,2880.0,2,9.0,-10.0,Other_Region,Other_Region
,2018,7,CHN,0.0,1,-10.0,-13.0,South_Atlantic,10
,2019,4,CHN,0.0,11,-10.0,-13.0,South_Atlantic,10
,2017,9,PRT,0.0,1,9.0,-3.0,Other_Region,Other_Region
iccat,2019,5,MEX,2208.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2019,12,MEX,1136.0,0,4.8,-19.4,Other_Region,Other_Region
iccat,2017,4,ZAF,2300.0,0,-7.8,3.0,South_Atlantic,9
iccat,2017,7,ZAF,5100.0,0,-7.8,3.6,South_Atlantic,9
iccat,2019,8,ZAF,6140.0,0,-7.8,3.0,South_Atlantic,9
iccat,2019,3,PAN,7200.0,0,1.2,-9.4,Other_Region,Other_Region
iccat,2019,5,MEX,2946.0,0,3.8,-20.2,Other_Region,Other_Region
iccat,2018,6,ZAF,1200.0,0,-7.6,3.0,South_Atlantic,9
iccat,2019,10,PAN,37200.0,0,1.4,-9.4,Other_Region,Other_Region
iccat,2019,5,PAN,2800.0,0,2.2,-10.6,Other_Region,Other_Region
iccat,2018,4,MEX,576.0,0,4.4,-19.6,Other_Region,Other_Region
iccat,2018,4,ZAF,2000.0,0,-7.4,3.0,South_Atlantic,9
iccat,2019,2,PAN,15600.0,0,0.8,-9.2,Other_Region,Other_Region
iccat,2019,2,PAN,12500.0,0,0.8,-9.6,Other_Region,Other_Region
iccat,2019,9,PAN,41100.0,0,1.6,-9.2,Other_Region,Other_Region
iccat,2019,10,PAN,31600.0,0,1.6,-9.8,Other_Region,Other_Region
iccat,2019,12,PAN,27100.0,0,1.6,-11.6,Other_Region,Other_Region
iccat,2019,3,MEX,5589.0,0,4.2,-20.0,Other_Region,Other_Region
iccat,2019,7,MEX,468.0,0,4.2,-20.2,Other_Region,Other_Region
iccat,2017,12,ZAF,1200.0,0,-7.2,3.0,South_Atlantic,9
iccat,2018,12,ZAF,1500.0,0,-7.2,2.8,South_Atlantic,9
iccat,2019,2,PAN,94300.0,0,1.8,-11.0,Other_Region,Other_Region
iccat,2019,5,PAN,39700.0,0,1.8,-10.6,Other_Region,Other_Region
,2018,7,PRT,0.0,9,9.0,-6.0,Other_Region,Other_Region
,2019,4,CHN,0.0,1,12.0,-1.0,Other_Region,Other_Region
,2018,3,BEL,0.0,1,-11.0,-15.0,Other_Region,Other_Region
,2018,1,CHN,0.0,2,-11.0,-2.0,South_Atlantic,9
,2019,4,ESP,0.0,1,-11.0,-25.0,South_Pacific,Other_Region
,2018,7,PRT,0.0,3,10.0,-6.0,Other_Region,Other_Region
iccat,2019,3,MEX,1908.0,0,4.8,-19.8,Other_Region,Other_Region
iccat,2019,4,PAN,8400.0,0,1.2,-8.8,Other_Region,Other_Region
iccat,2019,11,MEX,2679.0,0,4.6,-19.4,Other_Region,Other_Region
iccat,2019,12,MEX,3456.0,0,4.6,-19.0,Other_Region,Other_Region
iccat,2019,7,ZAF,5200.0,0,-7.6,2.8,South_Atlantic,9
iccat,2019,8,PAN,9800.0,0,1.4,-11.6,Other_Region,Other_Region
iccat,2019,3,PAN,31900.0,0,2.2,-12.0,Other_Region,Other_Region
iccat,2019,10,PAN,2400.0,0,2.2,-10.4,Other_Region,Other_Region
iccat,2019,11,PAN,9400.0,0,2.2,-8.8,Other_Region,Other_Region
iccat,2019,11,PAN,2800.0,0,2.2,-9.6,Other_Region,Other_Region
iccat,2019,11,PAN,2200.0,0,2.2,-10.4,Other_Region,Other_Region
iccat,2019,4,PAN,77300.0,0,1.6,-12.0,Other_Region,Other_Region
iccat,2018,7,ZAF,1000.0,0,-7.2,2.6,South_Atlantic,9
,2018,4,ESP,0.0,4,9.0,-1.0,Other_Region,Other_Region
,2019,3,JPN,0.0,1,-10.0,6.0,South_Indian,9
,2019,8,ESP,0.0,39,9.0,-9.0,Other_Region,Other_Region
,2019,8,PRT,0.0,2,9.0,-3.0,Other_Region,Other_Region
,2017,12,CHN,0.0,3,-14.0,-2.0,Other_Region,Other_Region
iccat,2018,5,MEX,3456.0,0,4.8,-18.6,Other_Region,Other_Region
iccat,2017,6,ZAF,1000.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,9,ZAF,1300.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,9,ZAF,2600.0,0,-7.8,3.6,South_Atlantic,9
iccat,2017,8,ITA,2600.0,0,8.6,2.8,Other_Region,Other_Region
iccat,2017,8,ITA,3900.0,0,8.6,2.8,Other_Region,Other_Region
iccat,2019,8,PAN,41800.0,0,0.6,-9.8,Other_Region,Other_Region
iccat,2019,5,MEX,552.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2019,11,MEX,7920.0,0,4.6,-20.2,Other_Region,Other_Region
iccat,2018,2,ZAF,700.0,0,-7.6,3.4,South_Atlantic,9
iccat,2018,4,ZAF,1300.0,0,-7.6,3.0,South_Atlantic,9
iccat,2017,5,ZAF,2400.0,0,-8.2,3.4,South_Atlantic,9
iccat,2018,1,ZAF,9850.0,0,-8.2,3.8,South_Atlantic,9
iccat,2018,3,ZAF,1300.0,0,-8.2,3.6,South_Atlantic,9
iccat,2019,4,PAN,9400.0,0,1.4,-9.6,Other_Region,Other_Region
iccat,2019,8,PAN,11400.0,0,2.2,-9.8,Other_Region,Other_Region
iccat,2018,1,MEX,5299.0,0,4.4,-20.0,Other_Region,Other_Region
iccat,2019,4,ZAF,1400.0,0,-7.4,3.2,South_Atlantic,9
iccat,2019,5,PAN,11000.0,0,0.2,-8.4,Other_Region,Other_Region
iccat,2019,5,PAN,10900.0,0,0.8,-9.4,Other_Region,Other_Region
,2017,8,ESP,0.0,59,9.0,-2.0,Other_Region,Other_Region
,2019,5,TWN,0.0,1,-11.0,-25.0,South_Pacific,Other_Region
,2018,10,CAN,0.0,1,9.0,-13.0,Other_Region,Other_Region
,2018,6,CAN,0.0,1,9.0,-12.0,Other_Region,Other_Region
iccat,2018,1,MEX,5875.0,0,4.8,-20.2,North_Pacific,Other_Region
iccat,2019,1,MEX,2616.0,0,4.8,-20.0,North_Pacific,Other_Region
iccat,2019,11,MEX,1728.0,0,4.8,-19.6,Other_Region,Other_Region
iccat,2017,5,ZAF,2820.0,0,-7.8,3.4,South_Atlantic,9
iccat,2017,5,ZAF,12700.0,0,-7.8,3.4,South_Atlantic,9
iccat,2017,5,ZAF,3960.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,3,PAN,5600.0,0,0.6,-9.6,Other_Region,Other_Region
iccat,2019,5,PAN,13100.0,0,1.2,-10.0,Other_Region,Other_Region
iccat,2019,8,PAN,7700.0,0,1.2,-9.0,Other_Region,Other_Region
iccat,2019,3,MEX,1248.0,0,3.8,-20.0,Other_Region,Other_Region
iccat,2018,1,MEX,21476.0,0,4.6,-20.0,Other_Region,Other_Region
iccat,2018,3,MEX,2530.0,0,4.6,-19.4,Other_Region,Other_Region
iccat,2018,3,MEX,4416.0,0,4.6,-20.0,Other_Region,Other_Region
iccat,2018,9,MEX,1120.0,0,4.6,-20.2,Other_Region,Other_Region
iccat,2018,7,ZAF,1500.0,0,-8.2,3.4,South_Atlantic,9
iccat,2019,9,PAN,22800.0,0,1.4,-10.0,Other_Region,Other_Region
iccat,2019,7,PAN,2500.0,0,2.2,-11.8,Other_Region,Other_Region
iccat,2019,12,PAN,17500.0,0,2.2,-11.4,Other_Region,Other_Region
iccat,2018,3,MEX,4632.0,0,4.4,-19.4,Other_Region,Other_Region
iccat,2019,12,MEX,1536.0,0,4.4,-20.2,Other_Region,Other_Region
iccat,2017,3,PRT,430150.0,0,6.4,-4.4,Other_Region,Other_Region
iccat,2019,7,PAN,17300.0,0,1.6,-10.4,Other_Region,Other_Region
iccat,2019,11,PAN,45800.0,0,1.6,-10.8,Other_Region,Other_Region
iccat,2019,6,MEX,6954.0,0,3.6,-19.8,Other_Region,Other_Region
iccat,2019,7,PAN,14900.0,0,1.8,-10.8,Other_Region,Other_Region
iccat,2019,11,PAN,27200.0,0,1.8,-11.6,Other_Region,Other_Region
iccat,2017,10,KOR,41592.0,16,11.0,-4.0,Other_Region,Other_Region
,2018,7,KOR,0.0,1,-15.0,-19.0,Other_Region,Other_Region
iccat,2018,10,MEX,8352.0,0,4.8,-19.2,Other_Region,Other_Region
iccat,2017,9,ZAF,1500.0,0,-7.8,3.2,South_Atlantic,9
iccat,2017,9,ZAF,4100.0,0,-7.8,3.2,South_Atlantic,9
iccat,2018,3,ZAF,2000.0,0,-7.8,3.4,South_Atlantic,9
iccat,2018,3,ZAF,1800.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,2,PAN,7900.0,0,1.2,-10.2,Other_Region,Other_Region
iccat,2018,1,MEX,7732.0,0,4.6,-19.8,Other_Region,Other_Region
iccat,2019,5,ZAF,1500.0,0,-8.2,3.6,South_Atlantic,9
iccat,2019,1,PAN,20800.0,0,1.4,-10.4,Other_Region,Other_Region
iccat,2017,6,ZAF,1300.0,0,-7.4,3.0,South_Atlantic,9
iccat,2017,6,ZAF,6100.0,0,-7.4,3.0,South_Atlantic,9
iccat,2017,6,ZAF,3800.0,0,-7.4,3.0,South_Atlantic,9
iccat,2018,10,ZAF,1500.0,0,-7.4,3.2,South_Atlantic,9
iccat,2019,5,ZAF,6825.0,0,-7.4,3.0,South_Atlantic,9
iccat,2019,3,PAN,2800.0,0,0.4,-9.6,Other_Region,Other_Region
iccat,2019,1,PAN,30200.0,0,1.6,-11.0,Other_Region,Other_Region
iccat,2019,12,PAN,2900.0,0,1.6,-11.8,Other_Region,Other_Region
iccat,2018,10,MEX,4176.0,0,4.2,-20.2,Other_Region,Other_Region
iccat,2019,7,MEX,1152.0,0,4.2,-19.8,Other_Region,Other_Region
iccat,2019,1,ZAF,1350.0,0,-7.2,3.2,South_Atlantic,9
iccat,2019,3,PAN,18200.0,0,1.8,-10.8,Other_Region,Other_Region
iccat,2019,4,PAN,2600.0,0,1.8,-10.2,Other_Region,Other_Region
iccat,2019,12,PAN,5300.0,0,1.8,-10.8,Other_Region,Other_Region
,2019,12,CHN,0.0,2,13.0,1.0,Other_Region,Other_Region
,2019,12,JPN,0.0,2,9.0,-4.0,Other_Region,Other_Region
,2017,9,ESP,0.0,10,9.0,-1.0,Other_Region,Other_Region
,2018,5,CAN,0.0,2,9.0,-10.0,Other_Region,Other_Region
iccat,2019,6,ZAF,6500.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,6,ZAF,3300.0,0,-7.8,3.4,South_Atlantic,9
iccat,2017,5,ZAF,2600.0,0,-7.6,3.4,South_Atlantic,9
iccat,2017,5,ZAF,1000.0,0,-7.6,3.4,South_Atlantic,9
iccat,2019,1,PAN,22400.0,0,2.2,-11.6,Other_Region,Other_Region
iccat,2019,10,MEX,10523.0,0,4.4,-19.6,Other_Region,Other_Region
iccat,2019,4,PAN,51600.0,0,1.6,-11.2,Other_Region,Other_Region
iccat,2019,5,PAN,15800.0,0,1.6,-11.8,Other_Region,Other_Region
iccat,2019,5,MEX,1344.0,0,3.6,-20.0,Other_Region,Other_Region
iccat,2018,1,MEX,3840.0,0,4.2,-20.2,Other_Region,Other_Region
iccat,2019,6,MEX,4032.0,0,4.2,-20.0,Other_Region,Other_Region
iccat,2017,1,ZAF,1600.0,0,-6.2,2.4,South_Atlantic,15
iccat,2017,9,ZAF,2700.0,0,-7.2,3.0,South_Atlantic,9
iccat,2018,7,ZAF,9600.0,0,-7.2,3.0,South_Atlantic,9
iccat,2018,7,ZAF,1500.0,0,-7.2,3.0,South_Atlantic,9
iccat,2019,1,PAN,43500.0,0,1.8,-10.0,Other_Region,Other_Region
,2018,6,ESP,0.0,10,9.0,-7.0,Other_Region,Other_Region
,2018,6,ESP,0.0,1,9.0,-8.0,Other_Region,Other_Region
,2018,5,JPN,0.0,1,-10.0,6.0,South_Indian,9
,2018,10,CAN,0.0,1,10.0,-11.0,Other_Region,Other_Region
,2017,8,ESP,0.0,6,9.0,-4.0,Other_Region,Other_Region
,2018,7,CAN,0.0,1,10.0,-12.0,Other_Region,Other_Region
,2017,5,PRT,0.0,1,9.0,-3.0,Other_Region,Other_Region
,2017,6,PRT,0.0,4,9.0,-5.0,Other_Region,Other_Region
,2018,3,PRT,0.0,2,9.0,-6.0,Other_Region,Other_Region
iccat,2019,3,MEX,3264.0,0,4.8,-20.0,North_Pacific,Other_Region
iccat,2017,2,ZAF,3000.0,0,-7.8,3.4,South_Atlantic,9
iccat,2019,6,PAN,17400.0,0,1.2,-9.0,Other_Region,Other_Region
iccat,2019,9,PAN,39800.0,0,1.2,-11.8,Other_Region,Other_Region
iccat,2018,9,MEX,552.0,0,4.6,-19.2,Other_Region,Other_Region
iccat,2017,12,ZAF,1200.0,0,-8.2,3.6,South_Atlantic,9
iccat,2019,1,PAN,99900.0,0,1.4,-10.2,Other_Region,Other_Region
iccat,2019,7,PAN,10100.0,0,1.4,-10.0,Other_Region,Other_Region
iccat,2019,4,MEX,2016.0,0,3.6,-19.8,Other_Region,Other_Region
,2018,7,PRT,0.0,13,9.0,-7.0,Other_Region,Other_Region
,2017,8,ESP,0.0,2,9.0,-8.0,Other_Region,Other_Region
,2019,4,CAN,0.0,3,9.0,-11.0,Other_Region,Other_Region
iccat,2018,2,MEX,5760.0,0,4.8,-19.6,Other_Region,Other_Region
iccat,2018,10,MEX,2376.0,0,4.8,-20.2,North_Pacific,Other_Region
iccat,2017,5,ZAF,4243.0,0,-7.8,3.6,South_Atlantic,9
iccat,2017,5,ZAF,5200.0,0,-7.8,3.6,South_Atlantic,9
iccat,2017,5,ZAF,600.0,0,-7.8,3.6,South_Atlantic,9
iccat,2018,5,ZAF,1400.0,0,-7.8,2.6,South_Atlantic,9
